drug_or_mechanism,source,BeatAML_available,BeatAML_AUC_direction,PRFT_high_interpretation,SigCom_reverser_direction,consistent_or_not,safe_wording,risk_note,comment
BRD-K38998914,mechanism_class_match,yes,higher AUC = lower ex vivo sensitivity / greater relative resistance,83 class rows with lower AUC in PRFT-high; 64 with higher AUC in PRFT-high,SigCom LINCS Reverser of PRFT-high signature,directionally complex,Mechanism-class comparison only; do not force drug-level equivalence.,Do not describe as clinical response prediction or therapy recommendation.,Mechanism class: other / unclear
PF-02545920,mechanism_class_match,yes,higher AUC = lower ex vivo sensitivity / greater relative resistance,83 class rows with lower AUC in PRFT-high; 64 with higher AUC in PRFT-high,SigCom LINCS Reverser of PRFT-high signature,directionally complex,Mechanism-class comparison only; do not force drug-level equivalence.,Do not describe as clinical response prediction or therapy recommendation.,Mechanism class: other / unclear
dasatinib,direct_drug_match,yes,higher AUC = lower ex vivo sensitivity / greater relative resistance,High-risk group has lower AUC / greater ex vivo sensitivity,SigCom LINCS Reverser of PRFT-high signature,suggested convergent support,"SigCom prioritized the perturbagen as a PRFT-high signature reverser and BeatAML showed lower AUC in PRFT-high samples, consistent with greater ex vivo sensitivity.",Do not describe as clinical response prediction or therapy recommendation.,Mechanism class: MAPK / stress-kinase-related
BRD-K01815685,mechanism_class_match,yes,higher AUC = lower ex vivo sensitivity / greater relative resistance,83 class rows with lower AUC in PRFT-high; 64 with higher AUC in PRFT-high,SigCom LINCS Reverser of PRFT-high signature,directionally complex,Mechanism-class comparison only; do not force drug-level equivalence.,Do not describe as clinical response prediction or therapy recommendation.,Mechanism class: other / unclear
mibefradil,mechanism_class_match,yes,higher AUC = lower ex vivo sensitivity / greater relative resistance,83 class rows with lower AUC in PRFT-high; 64 with higher AUC in PRFT-high,SigCom LINCS Reverser of PRFT-high signature,directionally complex,Mechanism-class comparison only; do not force drug-level equivalence.,Do not describe as clinical response prediction or therapy recommendation.,Mechanism class: other / unclear
troglitazone,mechanism_class_match,yes,higher AUC = lower ex vivo sensitivity / greater relative resistance,83 class rows with lower AUC in PRFT-high; 64 with higher AUC in PRFT-high,SigCom LINCS Reverser of PRFT-high signature,directionally complex,Mechanism-class comparison only; do not force drug-level equivalence.,Do not describe as clinical response prediction or therapy recommendation.,Mechanism class: other / unclear
voreloxin,mechanism_class_match,yes,higher AUC = lower ex vivo sensitivity / greater relative resistance,83 class rows with lower AUC in PRFT-high; 64 with higher AUC in PRFT-high,SigCom LINCS Reverser of PRFT-high signature,directionally complex,Mechanism-class comparison only; do not force drug-level equivalence.,Do not describe as clinical response prediction or therapy recommendation.,Mechanism class: other / unclear
TW-37,mechanism_class_match,yes,higher AUC = lower ex vivo sensitivity / greater relative resistance,83 class rows with lower AUC in PRFT-high; 64 with higher AUC in PRFT-high,SigCom LINCS Reverser of PRFT-high signature,directionally complex,Mechanism-class comparison only; do not force drug-level equivalence.,Do not describe as clinical response prediction or therapy recommendation.,Mechanism class: other / unclear
PFI-1,mechanism_class_match,yes,higher AUC = lower ex vivo sensitivity / greater relative resistance,83 class rows with lower AUC in PRFT-high; 64 with higher AUC in PRFT-high,SigCom LINCS Reverser of PRFT-high signature,directionally complex,Mechanism-class comparison only; do not force drug-level equivalence.,Do not describe as clinical response prediction or therapy recommendation.,Mechanism class: other / unclear
bortezomib,SigCom_only,no,higher AUC = lower ex vivo sensitivity / greater relative resistance,No direct BeatAML drug or conservative class comparator found.,SigCom LINCS Reverser of PRFT-high signature,not directly comparable,SigCom-only hypothesis-generating candidate; requires experimental and pharmacogenomic validation.,Do not describe as clinical response prediction or therapy recommendation.,Mechanism class: proteasome / proteostasis-related
fusidic-acid,mechanism_class_match,yes,higher AUC = lower ex vivo sensitivity / greater relative resistance,83 class rows with lower AUC in PRFT-high; 64 with higher AUC in PRFT-high,SigCom LINCS Reverser of PRFT-high signature,directionally complex,Mechanism-class comparison only; do not force drug-level equivalence.,Do not describe as clinical response prediction or therapy recommendation.,Mechanism class: other / unclear
BRD-K36984542,mechanism_class_match,yes,higher AUC = lower ex vivo sensitivity / greater relative resistance,83 class rows with lower AUC in PRFT-high; 64 with higher AUC in PRFT-high,SigCom LINCS Reverser of PRFT-high signature,directionally complex,Mechanism-class comparison only; do not force drug-level equivalence.,Do not describe as clinical response prediction or therapy recommendation.,Mechanism class: other / unclear
BRD-K80439608,mechanism_class_match,yes,higher AUC = lower ex vivo sensitivity / greater relative resistance,83 class rows with lower AUC in PRFT-high; 64 with higher AUC in PRFT-high,SigCom LINCS Reverser of PRFT-high signature,directionally complex,Mechanism-class comparison only; do not force drug-level equivalence.,Do not describe as clinical response prediction or therapy recommendation.,Mechanism class: other / unclear
bortezomib,SigCom_only,no,higher AUC = lower ex vivo sensitivity / greater relative resistance,No direct BeatAML drug or conservative class comparator found.,SigCom LINCS Reverser of PRFT-high signature,not directly comparable,SigCom-only hypothesis-generating candidate; requires experimental and pharmacogenomic validation.,Do not describe as clinical response prediction or therapy recommendation.,Mechanism class: proteasome / proteostasis-related
zidovudine,mechanism_class_match,yes,higher AUC = lower ex vivo sensitivity / greater relative resistance,83 class rows with lower AUC in PRFT-high; 64 with higher AUC in PRFT-high,SigCom LINCS Reverser of PRFT-high signature,directionally complex,Mechanism-class comparison only; do not force drug-level equivalence.,Do not describe as clinical response prediction or therapy recommendation.,Mechanism class: other / unclear
MAPK / stress-kinase-related,mechanism_class_match,yes,higher AUC = lower ex vivo sensitivity / greater relative resistance,2 BeatAML class rows with lower AUC in PRFT-high; 0 with higher AUC in PRFT-high,SigCom LINCS mechanism class among Reversers,suggested convergent support,Mechanism-class convergence only; not drug efficacy evidence.,Mechanism annotation requires manual verification.,Added class-level comparator.
HDAC-related,mechanism_class_match,yes,higher AUC = lower ex vivo sensitivity / greater relative resistance,1 BeatAML class rows with lower AUC in PRFT-high; 0 with higher AUC in PRFT-high,SigCom LINCS mechanism class among Reversers,suggested convergent support,Mechanism-class convergence only; not drug efficacy evidence.,Mechanism annotation requires manual verification.,Added class-level comparator.
