category,candidate_or_mechanism,evidence_source,direction,relationship_to_PRFT_high,support_level,recommended_interpretation,future_validation_experiment,risk_note,comment
directionally_complex,rasagiline,mechanism_class_match; SigCom LINCS reverser; BeatAML bounded consistency check,SigCom LINCS Reverser of PRFT-high signature; higher AUC = lower ex vivo sensitivity / greater relative resistance,83 class rows with lower AUC in PRFT-high; 64 with higher AUC in PRFT-high,directionally_complex,Mechanism-class comparison only; do not force drug-level equivalence.,Manual mechanism review first; then AML residual-like drug-response assay and PRFT/ferroptosis marker detection,Do not describe as clinical response prediction or therapy recommendation.,Mechanism class: other / unclear
directionally_complex,BRD-K77432048,mechanism_class_match; SigCom LINCS reverser; BeatAML bounded consistency check,SigCom LINCS Reverser of PRFT-high signature; higher AUC = lower ex vivo sensitivity / greater relative resistance,83 class rows with lower AUC in PRFT-high; 64 with higher AUC in PRFT-high,directionally_complex,Mechanism-class comparison only; do not force drug-level equivalence.,Manual mechanism review first; then AML residual-like drug-response assay and PRFT/ferroptosis marker detection,Do not describe as clinical response prediction or therapy recommendation.,Mechanism class: other / unclear
directionally_complex,BRD-K38998914,mechanism_class_match; SigCom LINCS reverser; BeatAML bounded consistency check,SigCom LINCS Reverser of PRFT-high signature; higher AUC = lower ex vivo sensitivity / greater relative resistance,83 class rows with lower AUC in PRFT-high; 64 with higher AUC in PRFT-high,directionally_complex,Mechanism-class comparison only; do not force drug-level equivalence.,Manual mechanism review first; then AML residual-like drug-response assay and PRFT/ferroptosis marker detection,Do not describe as clinical response prediction or therapy recommendation.,Mechanism class: other / unclear
directionally_complex,PF-02545920,mechanism_class_match; SigCom LINCS reverser; BeatAML bounded consistency check,SigCom LINCS Reverser of PRFT-high signature; higher AUC = lower ex vivo sensitivity / greater relative resistance,83 class rows with lower AUC in PRFT-high; 64 with higher AUC in PRFT-high,directionally_complex,Mechanism-class comparison only; do not force drug-level equivalence.,Manual mechanism review first; then AML residual-like drug-response assay and PRFT/ferroptosis marker detection,Do not describe as clinical response prediction or therapy recommendation.,Mechanism class: other / unclear
suggested_convergent_support,dasatinib,direct_drug_match; SigCom LINCS reverser; BeatAML bounded consistency check,SigCom LINCS Reverser of PRFT-high signature; higher AUC = lower ex vivo sensitivity / greater relative resistance,High-risk group has lower AUC / greater ex vivo sensitivity,hypothesis_generating,"SigCom prioritized the perturbagen as a PRFT-high signature reverser and BeatAML showed lower AUC in PRFT-high samples, consistent with greater ex vivo sensitivity.",AML residual-like model; drug-response assay; lipid ROS assay; Fe2+ assay; MDA assay; SLC7A11 / GPX4 detection; JAK2 / p-STAT5 / PD-L1 detection if pathway context is carried into validation,Do not describe as clinical response prediction or therapy recommendation.,Mechanism class: MAPK / stress-kinase-related
directionally_complex,BRD-K01815685,mechanism_class_match; SigCom LINCS reverser; BeatAML bounded consistency check,SigCom LINCS Reverser of PRFT-high signature; higher AUC = lower ex vivo sensitivity / greater relative resistance,83 class rows with lower AUC in PRFT-high; 64 with higher AUC in PRFT-high,directionally_complex,Mechanism-class comparison only; do not force drug-level equivalence.,Manual mechanism review first; then AML residual-like drug-response assay and PRFT/ferroptosis marker detection,Do not describe as clinical response prediction or therapy recommendation.,Mechanism class: other / unclear
directionally_complex,mibefradil,mechanism_class_match; SigCom LINCS reverser; BeatAML bounded consistency check,SigCom LINCS Reverser of PRFT-high signature; higher AUC = lower ex vivo sensitivity / greater relative resistance,83 class rows with lower AUC in PRFT-high; 64 with higher AUC in PRFT-high,directionally_complex,Mechanism-class comparison only; do not force drug-level equivalence.,Manual mechanism review first; then AML residual-like drug-response assay and PRFT/ferroptosis marker detection,Do not describe as clinical response prediction or therapy recommendation.,Mechanism class: other / unclear
directionally_complex,troglitazone,mechanism_class_match; SigCom LINCS reverser; BeatAML bounded consistency check,SigCom LINCS Reverser of PRFT-high signature; higher AUC = lower ex vivo sensitivity / greater relative resistance,83 class rows with lower AUC in PRFT-high; 64 with higher AUC in PRFT-high,directionally_complex,Mechanism-class comparison only; do not force drug-level equivalence.,Manual mechanism review first; then AML residual-like drug-response assay and PRFT/ferroptosis marker detection,Do not describe as clinical response prediction or therapy recommendation.,Mechanism class: other / unclear
directionally_complex,voreloxin,mechanism_class_match; SigCom LINCS reverser; BeatAML bounded consistency check,SigCom LINCS Reverser of PRFT-high signature; higher AUC = lower ex vivo sensitivity / greater relative resistance,83 class rows with lower AUC in PRFT-high; 64 with higher AUC in PRFT-high,directionally_complex,Mechanism-class comparison only; do not force drug-level equivalence.,Manual mechanism review first; then AML residual-like drug-response assay and PRFT/ferroptosis marker detection,Do not describe as clinical response prediction or therapy recommendation.,Mechanism class: other / unclear
directionally_complex,TW-37,mechanism_class_match; SigCom LINCS reverser; BeatAML bounded consistency check,SigCom LINCS Reverser of PRFT-high signature; higher AUC = lower ex vivo sensitivity / greater relative resistance,83 class rows with lower AUC in PRFT-high; 64 with higher AUC in PRFT-high,directionally_complex,Mechanism-class comparison only; do not force drug-level equivalence.,Manual mechanism review first; then AML residual-like drug-response assay and PRFT/ferroptosis marker detection,Do not describe as clinical response prediction or therapy recommendation.,Mechanism class: other / unclear
directionally_complex,PFI-1,mechanism_class_match; SigCom LINCS reverser; BeatAML bounded consistency check,SigCom LINCS Reverser of PRFT-high signature; higher AUC = lower ex vivo sensitivity / greater relative resistance,83 class rows with lower AUC in PRFT-high; 64 with higher AUC in PRFT-high,directionally_complex,Mechanism-class comparison only; do not force drug-level equivalence.,Manual mechanism review first; then AML residual-like drug-response assay and PRFT/ferroptosis marker detection,Do not describe as clinical response prediction or therapy recommendation.,Mechanism class: other / unclear
not_directly_comparable,bortezomib,SigCom_only; SigCom LINCS reverser; BeatAML bounded consistency check,SigCom LINCS Reverser of PRFT-high signature; higher AUC = lower ex vivo sensitivity / greater relative resistance,No direct BeatAML drug or conservative class comparator found.,not_directly_comparable,SigCom-only hypothesis-generating candidate; requires experimental and pharmacogenomic validation.,AML residual-like model; drug-response assay; lipid ROS assay; Fe2+ assay; MDA assay; SLC7A11 / GPX4 detection; proteostasis marker detection; combination with Fer-1 / RSL3 / erastin if relevant,Do not describe as clinical response prediction or therapy recommendation.,Mechanism class: proteasome / proteostasis-related
directionally_complex,fusidic-acid,mechanism_class_match; SigCom LINCS reverser; BeatAML bounded consistency check,SigCom LINCS Reverser of PRFT-high signature; higher AUC = lower ex vivo sensitivity / greater relative resistance,83 class rows with lower AUC in PRFT-high; 64 with higher AUC in PRFT-high,directionally_complex,Mechanism-class comparison only; do not force drug-level equivalence.,Manual mechanism review first; then AML residual-like drug-response assay and PRFT/ferroptosis marker detection,Do not describe as clinical response prediction or therapy recommendation.,Mechanism class: other / unclear
directionally_complex,BRD-K36984542,mechanism_class_match; SigCom LINCS reverser; BeatAML bounded consistency check,SigCom LINCS Reverser of PRFT-high signature; higher AUC = lower ex vivo sensitivity / greater relative resistance,83 class rows with lower AUC in PRFT-high; 64 with higher AUC in PRFT-high,directionally_complex,Mechanism-class comparison only; do not force drug-level equivalence.,Manual mechanism review first; then AML residual-like drug-response assay and PRFT/ferroptosis marker detection,Do not describe as clinical response prediction or therapy recommendation.,Mechanism class: other / unclear
directionally_complex,BRD-K80439608,mechanism_class_match; SigCom LINCS reverser; BeatAML bounded consistency check,SigCom LINCS Reverser of PRFT-high signature; higher AUC = lower ex vivo sensitivity / greater relative resistance,83 class rows with lower AUC in PRFT-high; 64 with higher AUC in PRFT-high,directionally_complex,Mechanism-class comparison only; do not force drug-level equivalence.,Manual mechanism review first; then AML residual-like drug-response assay and PRFT/ferroptosis marker detection,Do not describe as clinical response prediction or therapy recommendation.,Mechanism class: other / unclear
not_directly_comparable,bortezomib,SigCom_only; SigCom LINCS reverser; BeatAML bounded consistency check,SigCom LINCS Reverser of PRFT-high signature; higher AUC = lower ex vivo sensitivity / greater relative resistance,No direct BeatAML drug or conservative class comparator found.,not_directly_comparable,SigCom-only hypothesis-generating candidate; requires experimental and pharmacogenomic validation.,AML residual-like model; drug-response assay; lipid ROS assay; Fe2+ assay; MDA assay; SLC7A11 / GPX4 detection; proteostasis marker detection; combination with Fer-1 / RSL3 / erastin if relevant,Do not describe as clinical response prediction or therapy recommendation.,Mechanism class: proteasome / proteostasis-related
directionally_complex,zidovudine,mechanism_class_match; SigCom LINCS reverser; BeatAML bounded consistency check,SigCom LINCS Reverser of PRFT-high signature; higher AUC = lower ex vivo sensitivity / greater relative resistance,83 class rows with lower AUC in PRFT-high; 64 with higher AUC in PRFT-high,directionally_complex,Mechanism-class comparison only; do not force drug-level equivalence.,Manual mechanism review first; then AML residual-like drug-response assay and PRFT/ferroptosis marker detection,Do not describe as clinical response prediction or therapy recommendation.,Mechanism class: other / unclear
suggested_convergent_support,MAPK / stress-kinase-related,mechanism_class_match; SigCom LINCS reverser; BeatAML bounded consistency check,SigCom LINCS mechanism class among Reversers; higher AUC = lower ex vivo sensitivity / greater relative resistance,2 BeatAML class rows with lower AUC in PRFT-high; 0 with higher AUC in PRFT-high,hypothesis_generating,Mechanism-class convergence only; not drug efficacy evidence.,AML residual-like model; drug-response assay; lipid ROS assay; Fe2+ assay; MDA assay; SLC7A11 / GPX4 detection; JAK2 / p-STAT5 / PD-L1 detection if pathway context is carried into validation,Mechanism annotation requires manual verification.,Added class-level comparator.
suggested_convergent_support,HDAC-related,mechanism_class_match; SigCom LINCS reverser; BeatAML bounded consistency check,SigCom LINCS mechanism class among Reversers; higher AUC = lower ex vivo sensitivity / greater relative resistance,1 BeatAML class rows with lower AUC in PRFT-high; 0 with higher AUC in PRFT-high,hypothesis_generating,Mechanism-class convergence only; not drug efficacy evidence.,AML residual-like model; drug-response assay; lipid ROS assay; Fe2+ assay; MDA assay; SLC7A11 / GPX4 detection; ferroptosis-rescue assay; combination with Fer-1 / RSL3 / erastin if relevant,Mechanism annotation requires manual verification.,Added class-level comparator.
