repository_relative_path,file_name,file_type,directory,file_size,md5_or_sha256,content_role,supports_manuscript_claim,supports_ML_claim,supports_Formula_A,supports_BeatAML,supports_single_cell,supports_SigCom_LINCS,is_processed_data,is_selected_script,is_supplementary_file,public_release_ready,risk_status,comment
data/beataml_risk_score_drug_correlation_all.csv,beataml_risk_score_drug_correlation_all.csv,csv,data,35829,5eb47dbb667aa44e90c5c68a177be18244716f884f3b2637e697ce56104b965c,BeatAML processed result table,yes,no,no,yes,no,no,yes,no,no,yes,no_high_risk_true_risk_after_phase27i_scan_pending,Included in Phase27I final private-upload candidate.
data/combined_GPL570_external_validation_performance.csv,combined_GPL570_external_validation_performance.csv,csv,data,810,d0a8ff9f806127e8edd43f518c8ae50d53eba8e4f69615cd4364d0187c0b8f80,processed data table,yes,no,no,no,no,no,yes,no,no,yes,no_high_risk_true_risk_after_phase27i_scan_pending,Included in Phase27I final private-upload candidate.
data/external_validation_main_results.csv,external_validation_main_results.csv,csv,data,1534,e9194e36d671cb5b15ade0dfa5d88cef4dbc4c33f62e7e01cf4b8ca104ef7c75,processed data table,yes,no,no,no,no,no,yes,no,no,yes,no_high_risk_true_risk_after_phase27i_scan_pending,Included in Phase27I final private-upload candidate.
data/phase4_singlecell_cellstate_PRFT_summary_formula_A.csv,phase4_singlecell_cellstate_PRFT_summary_formula_A.csv,csv,data,1545,152c7deb1174dea76390ffdc80758fc55fcdbb745cfabd180c20f7780e3973a4,Formula A/model-selection metadata,yes,no,yes,no,yes,no,yes,no,no,yes,no_high_risk_true_risk_after_phase27i_scan_pending,Included in Phase27I final private-upload candidate.
data/sc_celltype_score_summary.csv,sc_celltype_score_summary.csv,csv,data,17940,14f2ba255cc0b577b7c7e959191f00819d599b8b0ee87a4f2d543c463a1fddc1,single-cell processed result table,yes,no,no,no,yes,no,yes,no,no,yes,no_high_risk_true_risk_after_phase27i_scan_pending,Included in Phase27I final private-upload candidate.
data/sc_cluster_score_summary.csv,sc_cluster_score_summary.csv,csv,data,10306,0b09352799807188db11679311ec624dcac9ef38f0fe72b654b81a07aba4460d,single-cell processed result table,yes,no,no,no,yes,no,yes,no,no,yes,no_high_risk_true_risk_after_phase27i_scan_pending,Included in Phase27I final private-upload candidate.
data/sc_signature_gene_coverage.csv,sc_signature_gene_coverage.csv,csv,data,1368,e16a2cc4b7a438b0d926d442321132cafc5009fa8fe61602da9e7bc50b8173fa,single-cell processed result table,yes,no,no,no,yes,no,yes,no,no,yes,no_high_risk_true_risk_after_phase27i_scan_pending,Included in Phase27I final private-upload candidate.
data/tcga_cross_platform_risk_score_by_sample.csv,tcga_cross_platform_risk_score_by_sample.csv,csv,data,11408,8087ea4479795ece24e82d9d3aabffe8487fb7b37dd437bcbfe0dbdf863e7eda,processed data table,yes,no,no,no,no,no,yes,no,no,yes,no_high_risk_true_risk_after_phase27i_scan_pending,Included in Phase27I final private-upload candidate.
metadata/LOCKED_PRFT_six_gene_formula_A.txt,LOCKED_PRFT_six_gene_formula_A.txt,txt,metadata,170,4aeda99c937be11a5038c6296e01b98a9c226d0019a54058814d2be3332cdcaf,Formula A/model-selection metadata,yes,no,yes,no,no,no,no,no,no,yes,no_high_risk_true_risk_after_phase27i_scan_pending,Included in Phase27I final private-upload candidate.
metadata/LOCKED_PRFT_six_gene_formula_A_coefficients.csv,LOCKED_PRFT_six_gene_formula_A_coefficients.csv,csv,metadata,174,1949f81522e372f88810d301a03f46996dc00943fcb79d7edd8e556f6820bbf9,Formula A/model-selection metadata,yes,no,yes,no,no,no,no,no,no,yes,no_high_risk_true_risk_after_phase27i_scan_pending,Included in Phase27I final private-upload candidate.
metadata/README_formula_lock.md,README_formula_lock.md,md,metadata,642,903f6c6541a36e81f936cb6ce8cc5f9612871ed9650a8e0548a79e7a7e442db4,Formula A/model-selection metadata,yes,no,yes,no,no,no,no,no,no,yes,no_high_risk_true_risk_after_phase27i_scan_pending,Included in Phase27I final private-upload candidate.
metadata/model_selection/phase3A_fix_original_6gene_vs_top_models.csv,phase3A_fix_original_6gene_vs_top_models.csv,csv,metadata/model_selection,11584,98ddb1a6f0ef8c36a42dc741f644f8af1b36dd4b66ad9e894b1f0671ad0f699f,ML benchmarking evidence,yes,yes,yes,no,no,no,no,no,no,yes,no_high_risk_true_risk_after_phase27i_scan_pending,Included in Phase27I final private-upload candidate.
scripts/04_preprocess_tcga_laml_xena.R,04_preprocess_tcga_laml_xena.R,r,scripts,16359,51fd380cf206a94c2c5b6eab592936dc8f31cf1e6af3ad55fc6fbb847c139296,selected analysis script,yes,no,no,no,no,no,no,yes,no,yes,no_high_risk_true_risk_after_phase27i_scan_pending,Included in Phase27I final private-upload candidate.
scripts/09_calculate_prft_score_and_group.R,09_calculate_prft_score_and_group.R,r,scripts,4254,1643d401cda07627da8054d1ae3faa7fab1ede3e576b85feabf564104e42bfb5,selected analysis script,yes,no,no,no,no,no,no,yes,no,yes,no_high_risk_true_risk_after_phase27i_scan_pending,Included in Phase27I final private-upload candidate.
scripts/17_external_validation_cross_platform_signature_geo.R,17_external_validation_cross_platform_signature_geo.R,r,scripts,30532,59ff7105a38dae11acb0b1772251b448b9030a30e7799c010089bc7b14749364,selected analysis script,yes,no,no,no,no,no,no,yes,no,yes,no_high_risk_true_risk_after_phase27i_scan_pending,Included in Phase27I final private-upload candidate.
scripts/20_beataml_drug_sensitivity_analysis.R,20_beataml_drug_sensitivity_analysis.R,r,scripts,28538,98bc8d02b2ccf0e978b582c2f48056da3cbf4d9debc913ccd75c4c890ebc82cd,selected analysis script,yes,no,no,yes,no,no,no,yes,no,yes,no_high_risk_true_risk_after_phase27i_scan_pending,Included in Phase27I final private-upload candidate.
scripts/21_single_cell_prft_signature_localization.R,21_single_cell_prft_signature_localization.R,r,scripts,39800,6b4f0e23223217ecba37940b65cb77125b64f918e14fca19c594e8d98dc8f322,selected analysis script,yes,no,no,no,yes,no,no,yes,no,yes,no_high_risk_true_risk_after_phase27i_scan_pending,Included in Phase27I final private-upload candidate.
scripts/generate_phase17A_lite_cmap_beataml_prep.py,generate_phase17A_lite_cmap_beataml_prep.py,py,scripts,29662,1093ee9c7ad33ce52eb473be48d7ba83ab168b67c102483a29bb9e8c1df6fb1a,selected analysis script,yes,no,no,yes,no,yes,no,yes,no,yes,no_high_risk_true_risk_after_phase27i_scan_pending,Included in Phase27I final private-upload candidate.
scripts/generate_phase17B_v2_sigcom_beataml_curation.py,generate_phase17B_v2_sigcom_beataml_curation.py,py,scripts,39675,3d44ac746d2388dc8cd01bfdb40c7898ff79caf9858e914b2b18b77c17a06cd6,selected analysis script,yes,no,no,yes,no,yes,no,yes,no,yes,no_high_risk_true_risk_after_phase27i_scan_pending,Included in Phase27I final private-upload candidate.
scripts/phase1_run_reproduction.R,phase1_run_reproduction.R,r,scripts,4273,183b54b507d4b07153651f0db1d398f43387d84d4694f1ba75dd836bbffd3ad9,selected analysis script,yes,no,no,no,no,no,no,yes,no,yes,no_high_risk_true_risk_after_phase27i_scan_pending,Included in Phase27I final private-upload candidate.
supplementary/Main_Figure_Original_Source_Map.csv,Main_Figure_Original_Source_Map.csv,csv,supplementary,7726,01472cbef1b0eefd1839416cefa80229d23f94e48593bc71f7388424cd221387,supplementary result file,yes,no,no,no,no,no,no,no,yes,yes,no_high_risk_true_risk_after_phase27i_scan_pending,Included in Phase27I final private-upload candidate.
supplementary/Phase17C_SigCom_BeatAML_evidence_tier_table.csv,Phase17C_SigCom_BeatAML_evidence_tier_table.csv,csv,supplementary,8790,48e289f542021daadfb78cf0933730c0a04dbb8eb9247237d788930f395dd9b6,supplementary result file,yes,no,no,yes,no,yes,no,no,yes,yes,no_high_risk_true_risk_after_phase27i_scan_pending,Included in Phase27I final private-upload candidate.
supplementary/Supplementary_Figure_Sx_SigCom_BeatAML_final_design_Phase17C.csv,Supplementary_Figure_Sx_SigCom_BeatAML_final_design_Phase17C.csv,csv,supplementary,2903,355aef8ae4c16f4e4d15b29182f27f939aea3c2d8a0da7362ebc97ca7cbb3869,supplementary result file,yes,no,no,yes,no,yes,no,no,yes,yes,no_high_risk_true_risk_after_phase27i_scan_pending,Included in Phase27I final private-upload candidate.
supplementary/Supplementary_Table_S6_LOCKED_formula_A_coefficients.csv,Supplementary_Table_S6_LOCKED_formula_A_coefficients.csv,csv,supplementary,798,385c22192820f1d90dd0e95f87f2eda1259a446bc243497e8aba04b5d7044d93,Formula A/model-selection metadata,yes,no,yes,no,no,no,no,no,yes,yes,no_high_risk_true_risk_after_phase27i_scan_pending,Included in Phase27I final private-upload candidate.
supplementary/Supplementary_Table_Sx_SigCom_BeatAML_final_Phase17C.csv,Supplementary_Table_Sx_SigCom_BeatAML_final_Phase17C.csv,csv,supplementary,23611,f3dc331e19cef0a0e668b4896800fbbb7c53698e528a601b42fd99d6f94ce949,supplementary result file,yes,no,no,yes,no,yes,no,no,yes,yes,no_high_risk_true_risk_after_phase27i_scan_pending,Included in Phase27I final private-upload candidate.
supplementary/ml_benchmarking/Supplementary_Table_S8__phase3A_fix_model_ranking_composite_score.csv,Supplementary_Table_S8__phase3A_fix_model_ranking_composite_score.csv,csv,supplementary/ml_benchmarking,88250,e0411aeafd675ee9fbdc6fe3fde0ca1716f285bc06d9118091fcbfef3ed1c8e1,ML benchmarking evidence,yes,yes,no,no,no,no,no,no,yes,yes,no_high_risk_true_risk_after_phase27i_scan_pending,Included in Phase27I final private-upload candidate.
supplementary/ml_benchmarking/phase3A_fix_model_performance_all.csv,phase3A_fix_model_performance_all.csv,csv,supplementary/ml_benchmarking,76657,22a4475ab512b9e73c0a773d8ab21b57a5b418d1fd588b14b62edf18a1faed20,ML benchmarking evidence,yes,yes,no,no,no,no,no,no,yes,yes,no_high_risk_true_risk_after_phase27i_scan_pending,Included in Phase27I final private-upload candidate.
supplementary/ml_benchmarking/phase3A_fix_model_performance_success_only.csv,phase3A_fix_model_performance_success_only.csv,csv,supplementary/ml_benchmarking,71998,6b4cd45eaff3560e629446a77dfb7a85abe813b8d56cf75e36fada2d31587cc1,ML benchmarking evidence,yes,yes,no,no,no,no,no,no,yes,yes,no_high_risk_true_risk_after_phase27i_scan_pending,Included in Phase27I final private-upload candidate.
supplementary/ml_benchmarking/phase3A_fix_model_plan_150.csv,phase3A_fix_model_plan_150.csv,csv,supplementary/ml_benchmarking,30495,2691fa357d348f0ef22c89fcaf0cd98951366e14afc86805e587d09d3d281c6c,ML benchmarking evidence,yes,yes,no,no,no,no,no,no,yes,yes,no_high_risk_true_risk_after_phase27i_scan_pending,Included in Phase27I final private-upload candidate.
supplementary/ml_benchmarking/phase3A_fix_model_ranking_composite_score.csv,phase3A_fix_model_ranking_composite_score.csv,csv,supplementary/ml_benchmarking,88250,e0411aeafd675ee9fbdc6fe3fde0ca1716f285bc06d9118091fcbfef3ed1c8e1,ML benchmarking evidence,yes,yes,no,no,no,no,no,no,yes,yes,no_high_risk_true_risk_after_phase27i_scan_pending,Included in Phase27I final private-upload candidate.
